"登录处理","登録処理"
"登录解除处理","登録解除処理"
"初始化属性重置","イニシャライズドプロパティーのリセット"
"创建分段骨骼","Create Segment Bones"
"创建简单弯曲装备","Create Simple Bendy Rig"
"连接简单弯曲装备","Connect Simple Bendy Rig"
"断开简单弯曲装备","Disconnect Simple Bendy Rig"
"创建简单弯曲装备开关","Create Simple Bendy Rig Switch"
"创建弯曲装备","Create Bendy Rig"
"连接弯曲装备","Connect Bendy Rig"
"断开弯曲装备","Disconnect Bendy Rig"
"为弯曲装备创建扭曲头部","Create Twist Head For Bendy Rig"
"创建胸部装备","Create Chest Rig"
"编辑姿势模式的右键注册","EDIT POSE モードの右クリック登録"
"快速BBone","QuickBBone"
"顶部菜单的弹出注册","上部メニューのポップオーバー登録"
"骨骼创建","ボーン作成"
"将骨骼放入指定层","指定したレイヤーにボーンを入れる"
"选择指定索引的层","指定したインデックスのレイヤーを選択"
"将指定对象分配给骨骼的自定义形状","ボーンのカスタムシェイプに指定したオブジェクトを割り当てる"
"更改骨骼自定义形状的大小","ボーンのカスタムシェイプのサイズ変更"
"切换骨骼形状的线框","ボーンのシェイプのワイヤフレームをチェックオンオフ"
"指定显示类型名称以更改活动装备的显示类型","ディスプレイタイプ名を指定してアクティブなアーマチュアのディスプレイタイプを変更"
"更改骨骼的BBone大小","boneのBBoneサイズを変更"
"取消全选骨骼","全ボーン選択解除"
"选择骨骼","ボーンの選択"
"切换使用变形","use deform のチェックをオンオフ"
"将编辑骨骼旋转到当前向量的垂直位置","EditBoneを現在のベクトルの直行位置に回転"
"吸收编辑和姿势模式中选择对象获取的描述差异的函数","EDIT,POSEの選択オブジェクト取得の記述違いを吸収する関数"
"从名称获取姿势骨骼","名前からポーズボーン取得"
"如果有指定名称的集合则忽略，否则生成","指定名のコレクションがあれば無視、なければ生成。"
"从图标加载作为形状的对象","iconからシェイプとなるオブジェクトを読み込む"
"返回形状列表的函数","シェイプのリストを返す関数"
"模式更改控制类","モード変更制御用クラス"
"临时保存当前模式","現在のモードを一時保存"
"返回保存的模式","保存してるモードを返す"
"设置保存的模式","保存してるモードに設定"
"在名称中添加前缀","名前にプレフィックス追加"
"{}_{}","{}_{}"
"从名称中删除LR","名前からLRを削除"
"如果装备中没有骨骼且存在多个，则返回False","ボーン無いにアーマチュアが複数ある場合はFalseを返す"
"获取LR反转的名称","LR反転した名前を取得"
"返回场景内骨骼组的函数","シーン内にあるボーングループを返す関数"
"从setting.json的IconPath返回自定义形状列表的函数","setting.jsonのIconPathからカスタムシェイプ一覧をitemsの形式で返す関数"
"从setting.json的IconPath返回指定名称形状的索引的函数","setting.jsonのIconPathからカスタムシェイプ一覧から指定名のシェイプのインデックスを返す関数"
"从setting.join的IconPath返回形状","setting.joinのIconPathからシェイプを返す"
"从setting.json的IconPath加载形状","setting.jsonのIconPathからシェイプ読み込み"
"从骨骼名称设置形状","ボーン名からシェイプ設定"
"获取首选项","プリファレンスの取得"
"设置初始化标志","初期化フラグをつける"
"确认初始化标志","初期化フラグの確認"
"从附加属性获取默认值并应用于属性","アドオンプロパティーからデフォルト値を取ってきてプロパティーに適応"
"在BBone中创建分段骨骼操作符","BBoneにセグメントボーン生成オペレーター"
"在BBone中创建分段骨骼","Segment bone creation in BBone"
"骨骼显示类型","Bone Display Type"
"分段","Segments"
"分段骨骼名称","Segment Bone Name"
"分段骨骼前缀","Segment Bone Prefix"
"偏移骨骼前缀","Offset Bone Prefix"
"移除名称 (L R)","Remove Name (L R)"
"分段骨骼组","Segment Bone Group"
"偏移骨骼组","Offset Bone Group"
"选定层","Selected Layers"
"分段层","Segment Layer"
"偏移层","Offset Layer"
"使用自定义形状骨骼大小","Use Custom Shape Bone Size"
"分段自定义形状","Segment Custom Shape"
"分段自定义形状大小","Segment Custom Shape Size"
"分段自定义形状线框","Segment Custom Shape WireFrame"
"偏移自定义形状","Offset Custom Shape"
"偏移自定义形状大小","Offset Custom Shape Size"
"偏移自定义形状线框","Offset Custom Shape WireFrame"
"在分段中放置骨骼","セグメントへボーンの配置"
"父子关系","親子付け"
"约束","コンストレイン"
"在分段弯曲位置重置骨骼变换","セグメント曲がった位置でボーンのトランスフォームをリセット"
"骨骼组设置","ボーングループ設定"
"层设置","レイヤー設定"
"层选择","レイヤー選択"
"关闭使用变形","use deform のチェックをオフ"
"头部控制骨骼前缀","Head Ctrl Bone Prefix"
"尾部控制骨骼前缀","Tail Ctrl Bone Prefix"
"头尾控制骨骼层","Head Tail Ctrl Bone Layer"
"头尾控制骨骼组","Head Tail Ctrl Bone Group"
"弯曲骨骼手柄类型","Bendy Bone Handle Type"
"约束类型","Constraint Type"
"缓入缓出功率","Ease IN & Out Power"
"头部控制骨骼自定义形状","Head Ctrl Bone Custom Shape"
"尾部控制骨骼自定义形状","Tail Ctrl Bone Custom Shape"
"自定义形状大小","Custom Shape Size"
"自定义形状线框","Custom Shape WireFrame"
"头尾控制层","Head Tail Ctrl Layer"
"头部自定义形状","Head Custom Shape"
"尾部自定义形状","Tail Custom Shape"
"头尾自定义形状大小","Head Tail Custom Shape Size"
"头尾自定义形状线框","Head Tail Custom Shape WireFrame"
"将已创建和未创建的列表分割","作成済み、未作成のリストに分割"
"已创建的项目，为了安全起见，更新headBoneName和tailBoneName，以及head和tail的控制","作成済みのものは念のためheadBoneNameとtailBoneName、headとtailのctrlをアップデート"
"生成控制器","コントローラー生成"
"分段设置","セグメント設定"
"手柄设置","ハンドル設定"
"简单弯曲装备复制位置","SimpleBendyRig_CopyLocation"
"简单弯曲装备跟踪到","SimpleBendyRig_TrackTo"
"简单弯曲装备拉伸到","SimpleBendyRig_StretchTo"
"自定义属性","カスタムプロパティ"
"驱动器设置","ドライバー設定"
"ScY","ScY"
"功率","Pow"
"姿势骨骼["{}"]["简单弯曲装备功率"]","pose.bones["{}"]["SimpleBendyRig_power"]"
"变量","var"
"简单弯曲装备复制缩放","SimpleBendyRig_CopyScale"
"开关大小","Switch Size"
"开关位置","Switch Position"
"基础开关","Switch_base"
"拉伸跟踪开关","Switch_StrachTrack"
"锁定滑块的变换移动，除Y轴外","スライダーのトランスフォーム移動Y軸以外をロック"
"应用移动旋转限制约束到滑块","スライダーに移動回転制限コンストレインを付与"
"["{}"]","["{}"]"
"位置Y","location_Y"
"限制","Limit"
"姿势骨骼["{}"].约束["限制位置"].max_y","pose.bones["{}"].constraints["Limit Location"].max_y"
"姿势骨骼["{}"]["开关"]","pose.bones["{}"]["Switch"]"
"基础骨骼前缀","Base Bone Prefix"
"切线结束骨骼前缀","Tangent End Bone Prefix"
"切线开始骨骼前缀","Tangent Start Bone Prefix"
"基础骨骼层","Base Bone Layer"
"增加弯曲骨骼大小","Add BendyBone Size"
"基础骨骼组","Base Bone Group"
"基础骨骼自定义形状","Base Bone Custom Shape"
"增加自定义形状大小","Add Custom Shape Size"
"增加扭曲、BBsub和偏移骨骼","Add Twist & BBsub & Offset Bones"
"扭曲和BBsub骨骼层","Twist & BBsub Bone Layer"
"偏移骨骼层","Offset Bone Layer"
"扭曲和BBsub骨骼组","Twist & BBsub Bone Group"
"扭曲、偏移和BBsub生成","Twist Offset BBsub生成"
"扭曲_","Twist_"
"BBsub_","BBsub_"
"层次结构设置","階層構造設定"
"弯曲装备复制位置","BendyRig_CopyLocation"
"弯曲装备跟踪到尾部","BendyRig_TrackTo_Tail"
"弯曲装备拉伸到尾部","BendyRig_StretchTo_Tail"
"弯曲装备限制尾部缩放","BendyRig_LimitScale_Tail"
"弯曲装备限制头部缩放","BendyRig_LimitScale_Head"
"弯曲装备复制切线开始缩放","BendyRig_CopyScale_TangentStart"
"弯曲装备复制骨骼位置","BendyRig_CopyLocation_Bone"
"弯曲装备复制切线结束缩放","BendyRig_CopyScale_TangentEnd"
"弯曲装备复制尾部旋转","BendyRig_CopyRotation_Tail"
"弯曲装备复制BBsub位置","BendyRig_CopyLocation_BBsub"
"弯曲装备复制头部旋转","BendyRig_CopyRotation_Head"
"弯曲装备阻尼跟踪BBsub","BendyRig_DampedTrack_BBsub"
"弯曲装备复制BBone位置","BendyRig_CopyLocation_BBone"
"弯曲装备复制扭曲变换","BendyRig_CopyTransforms_Twist"
"姿势骨骼["{}"].位置[0]","pose.bones["{}"].location[0]"
"姿势骨骼["{}"].位置[2]","pose.bones["{}"].location[2]"
"位置Y","LocY"
"姿势骨骼["{}"].位置[1]","pose.bones["{}"].location[1]"
"长度","Len"
"姿势骨骼["{}"]["弯曲装备长度"]","pose.bones["{}"]["BendyRig_length"]"
"姿势骨骼["{}"]["弯曲装备功率"]","pose.bones["{}"]["BendyRig_power"]"
"弯曲装备复制连接位置","BendyRig_CopyLocation_Connect"
"弯曲装备复制连接缩放","BendyRig_CopyScale_Connect"
"弯曲装备复制连接旋转","BendyRig_CopyRotation_Connect"
"扭曲头部骨骼前缀","Twist Head Bone Prefix"
"弯曲装备复制骨骼旋转","BendyRig_CopyRotation_Bone"
"弯曲装备复制子位置","BendyRig_CopyLocation_Sub"
"弯曲装备复制扭曲旋转","BendyRig_CopyRotation_Twist"
"BBone胸部装备生成操作符","BBoneChestRig生成オペレーター"
"创建BBone胸部装备","Create BBone Chest Rig"
"装备名称","Armature Name"
"胸部骨骼名称","Chest Bone Name"
"脊椎骨骼名称","Spine Bone Name"
"腰部骨骼名称","Waist Bone Name"
"髋部骨骼名称","Hip Bone Name"
"完成","Finished"
"从面板执行","Excute From Panel"
"BBone分段","BBone Segmants"
"腰部骨骼前缀","Waist Bone Prefix"
"髋部骨骼前缀","Hip Bone Prefix"
"胸部骨骼前缀","Chest Bone Prefix"
"切线髋部骨骼前缀","Tangent Hip Bone Prefix"
"切线胸部骨骼前缀","Tangent Chest Bone Prefix"
"胸部装备控制器组","ChestRig Controller Group"
"扭曲和BBsub组","Twist & BBsub Group"
"偏移组","Offset Group"
"胸部装备控制器层","ChestRig Controller Layer"
"扭曲和BBsub层","Twist & BBsub Layer"
"增加胸部装备弯曲骨骼大小","Add ChestRig BendyBone Size"
"增加胸部装备自定义形状大小","Add ChestRig Custom Shape Size"
"胸部装备自定义形状线框","ChestRig Custom Shape WireFrame"
"生成必要的骨骼","必要なボーン生成"
"扭曲头部_","TwistHead_"
"创建层次结构","階層構造作成"
"髋部限制缩放","Hip Limit Scale"
"拉伸到胸部","Stretch To Chest"
"跟踪到胸部","Track To Chest"
"胸部限制缩放","Chest Limit Scale"
"复制胸部缩放","Copy Scale Chest"
"复制髋部缩放","Copy Scale HIP"
"复制自动挤压拉伸缩放","Copy Scale Auto SquashStrech"
"复制胸部旋转","Copy Rotation Chest"
"复制髋部旋转","Copy Rotation Hip"
"复制髋部位置","Copy Location Hip"
"阻尼跟踪BBsub","Damped Track BBsub"
"限制缩放","Limit Scale"
"复制扭曲旋转","Copy Rotation Twist"
"复制脊椎位置","Copy Location Spine"
"复制扭曲变换","Copy Transforms Twist"
"添加ID属性","IDプロパティー追加"
"姿势骨骼["{}"]["QuickBBone骨骼长度"]","pose.bones["{}"]["QuickBBone_BoneLength"]"
"姿势骨骼["{}"]["QuickBBone缓入缓出功率"]","pose.bones["{}"]["QuickBBone_EaseINOut_Pow"]"
"SY","SY"
"TY","TY"
"SZ","SZ"
"恢复","Restore"
"添加新","Add New"
"重复","Repeat"
"命令","Cmd"
"QuickBBone工具","QuickBBone Tools"
"创建分段骨骼","Segment Bones Create"
"创建简单弯曲装备","Simple Bendy Rig Create"
"创建弯曲装备","Bendy Rig Create"
"创建胸部装备","Chest Rig Create"
"从指定骨骼创建胸部装备","Chest Rig From Specify Bones"
"装备","Armature"
"腰部","Waist"
"脊椎","Spine"
"胸部","Chest"
"创建胸部装备（指定骨骼）","Create Chest Rig(Specify Bones)"
"主选项卡","Main Tab"
"图标选项","Icon Options"
"分段骨骼选项","Segment Bones Options"
"简单弯曲装备选项","Simple Bendy Rig Options"
"弯曲装备选项","Bendy Rig Options"
"胸部装备选项","Chest Rig Options"
"图标路径","Icon Path"
"重启Blender后将启用","It will be enabled after restarting blender"
"目标装备","Target Armature"
"胸部骨骼","Chest Bone"
"脊椎骨骼","Spine Bone"
"腰部骨骼","Waist Bone"
"初始化","Initialize"
"",""