"注册处理","登録処理"
"注销处理","登録解除処理"
"启动时生成设置的骨骼组","設定されたボーングループを起動時に生成"
"重置初始化属性","イニシャライズドプロパティーのリセット"
"INVOKE_DEFAULT","INVOKE_DEFAULT"
"单个骨骼创建","Single Bone Create"
"IK骨骼创建","IK Bone Create"
"多个骨骼创建","Multiple Bone Create"
"骨骼变换","Bone Transform"
"骨骼固定","Bone Pinning"
"骨骼实用工具","Bone Utility"
"对象实用工具","Object Utility"
"实用工具","Utility"
"注册顶部菜单弹出","上部メニューのポップオーバー登録"
"快速装配","QuickRig"
"注册编辑姿势模式的右键点击","EDIT POSE モードの右クリック登録"
"快速装配：单个骨骼创建","QuickRig : Single Bone Create"
"快速装配：IK骨骼创建","QuickRig : IK Bone Create"
"快速装配：多个骨骼创建","QuickRig : Multiple Bone Create"
"快速装配：骨骼变换","QuickRig : Bone Transform"
"快速装配：骨骼固定","QuickRig : Bone Pinning"
"快速装配：骨骼实用工具","QuickRig : Bone Utility"
"快速装配：实用工具","QuickRig : Utility"
"注册对象模式的右键点击","OBJECT モードの右クリック登録"
"快速装配：对象实用工具","QuickRig : Object Utility"
"骨骼创建","ボーン作成"
"生成连接活动骨骼和选定骨骼的骨骼","アクティブボーンと選択ボーンを接続するボーン生成"
"生成用于偏移的骨骼并将选定骨骼设为其子","オフセット用ボーンを生成して選択ボーンをその子にする"
"将骨骼放入指定的层","指定したレイヤーにボーンを入れる"
"选择指定索引的层","指定したインデックスのレイヤーを選択"
"将选定骨骼放入指定的层","指定したレイヤーに選択ボーンを入れる"
"指定骨骼组名并将骨骼放入指定组","ボーングループ名を指定してボーンを指定したグループに入れる"
"组","Group"
"创建骨骼组的函数","ボーングループを作る関数"
"指定显示类型名并更改活动装备的显示类型","ディスプレイタイプ名を指定してアクティブなアーマチュアのディスプレイタイプを変更"
"更改骨骼的BBone大小","boneのBBoneサイズを変更"
"更改选定BBbone的大小","選択BBboneのサイズを変更"
"将指定对象分配给骨骼的自定义形状","ボーンのカスタムシェイプに指定したオブジェクトを割り当てる"
"更改骨骼自定义形状的大小，如果出现AttributeError则分支到3.0版","ボーンのカスタムシェイプのサイズ変更 AttributeErrorの場合3.0版へ分岐"
"骨骼自定义形状的位置","ボーンのカスタムシェイプの位置"
"切换骨骼形状的线框检查","ボーンのシェイプのワイヤフレームをチェックオンオフ"
"切换基于骨骼长度的骨骼形状缩放","ボーンのシェイプのボーン長で拡大縮小をチェックオンオフ"
"切换use_connect","use_connectをチェックオンオフ"
"对齐目标骨骼的头部和尾部到源骨骼","ボーンsourceのボーンにtargetsのボーンのhead tailの位置をあわせる"
"移动匹配（如果父级有不均匀缩放且继承缩放不是None，则不会正确移动）","移動のマッチ（親に不均一なスケールが入っていてinherit scaleがNone以外の場合はちゃんと動かない）"
"旋转匹配（如果父级有不均匀缩放且继承缩放不是None，则不会正确旋转）","回転のマッチ（親に不均一なスケールが入っていてinherit scaleがNone以外の場合はちゃんと動かない）"
"缩放匹配（如果父级有不均匀缩放且继承缩放不是None，则不会正确缩放）","スケールのマッチ（親に不均一なスケールが入っていてinherit scaleがNone以外の場合はちゃんと動かない）"
"使姿势骨骼和编辑骨骼一致","ポーズボーンとエディットボーンを一致させる"
"返回靠近目标编辑骨骼头部和尾部的源编辑骨骼的尾部或头部","tagetEditBoneのheadとtailに近傍なsourceEditBones内のtailかheadを返す"
"在附近直线化","近傍に直線化"
"函数以在附近的头部或尾部捕捉","近傍のheadかtailにスナップする関数"
"Xmirror模式更改控制类","Xmirrorモード変更制御用クラス"
"临时保存当前模式","現在のモードを一時保存"
"设置保存的模式","保存してるモードに設定"
"获取装备","アーマチュア取得"
"获取装备对象","アーマチュアオブジェクト取得"
"获取骨骼","ボーン取得"
"获取编辑骨骼","Editボーン取得"
"获取姿势骨骼","poseボーン取得"
"根据名称获取姿势骨骼","名前からポーズボーン取得"
"根据名称获取编辑骨骼","名前からエディットボーン取得"
"根据名称获取骨骼","名前からボーン取得"
"返回所有骨骼的父级","ボーンの親をすべて返す"
"取消选择所有骨骼","全ボーン選択解除"
"吸收编辑和姿势模式中选择对象获取的描述差异的函数","EDIT, POSEの選択オブジェクト取得の記述違いを吸収する関数"
"选择骨骼","ボーンの選択"
"根据名称选择骨骼","名前からボーンの選択"
"获取活动骨骼","アクティブボーン取得"
"骨骼的活动状态","ボーンのアクティブ"
"根据名称设置活动骨骼","名前でアクティブボーンに設定"
"获取左右反转的骨骼","LR反転したボーン取得"
"返回选定骨骼的最前端和末端的向量","選択ボーンで一番先端と末端のベクトルを返す"
"返回按从前端开始的顺序排列的选定骨骼列表","選択ボーンを先端からの順番に並び替えたリストを返す"
"应用限制旋转约束到骨骼","ボーンにリミットローテーションコンストレイン適応"
"拉伸到约束","strech to コンストレイン"
"跟踪到约束","Track to コンストレイン"
"IK约束","IK コンストレイン"
"复制变换约束","Copy Transform コンストレイン"
"一半的位置约束","半分の位置コンストレイン"
"一半的旋转约束","半分の回転コンストレイン"
"一半的缩放约束","半分のスケールコンストレイン"
"子约束","チャイルドコンストレイン"
"获取姿势骨骼作为子目标的约束","ポーズボーンがSubTragetになっているコンストレインを取得"
"获取等间隔分割曲线的分割点坐标","カーブを等間隔に分割した分割点の座標を取得"
"从源向量返回指定向量的邻近向量","sourceVectorsから指定したvectorの近傍ベクトルを返す"
"如果有指定名称的集合则忽略，否则生成","指定名のコレクションがあれば無視、なければ生成。"
"从图标加载作为形状的对象","iconからシェイプとなるオブジェクトを読み込む"
"返回形状列表的函数","シェイプのリストを返す関数"
"模式更改控制类","モード変更制御用クラス"
"返回保存的模式","保存してるモードを返す"
"在名称中添加前缀","名前にプレフィックス追加"
"{}_{}","{}_{}"
"从名称中删除LR","名前からLRを削除"
"如果没有骨骼且有多个装备，则返回False","ボーン無いにアーマチュアが複数ある場合はFalseを返す"
"获取左右反转的名称","LR反転した名前を取得"
"检查版本3系列","ver.3系チェック"
"返回对象所属的集合","オブジェクトが所属するコレクションを返す"
"获取首选项","プリファレンスの取得"
"设置初始化标志","初期化フラグをつける"
"确认初始化标志","初期化フラグの確認"
"从附加属性获取默认值并应用于属性","アドオンプロパティーからデフォルト値を取ってきてプロパティーに適応"
"从setting.json的IconPath返回自定义形状列表的函数","setting.jsonのIconPathからカスタムシェイプ一覧をitemsの形式で返す関数"
"从setting.json的IconPath返回自定义形状列表中指定形状的索引的函数","setting.jsonのIconPathからカスタムシェイプ一覧から指定名のシェイプのインデックスを返す関数"
"从setting.join的IconPath返回形状","setting.joinのIconPathからシェイプを返す"
"从setting.json的IconPath加载形状","setting.jsonのIconPathからシェイプ読み込み"
"从骨骼名称设置形状","ボーン名からシェイプ設定"
"返回场景内存在的骨骼组的函数","シーン内にあるボーングループを返す関数"
"骨骼创建操作符","ボーン作成オペレーター"
"创建骨骼","Create Bone"
"骨骼创建：头部或尾部","Bone Creation : Head or Tail"
"骨骼组","Bone Group"
"骨骼名称","Bone Name"
"骨骼前缀","Bone Prefix"
"创建头部或尾部","Create Head or Tail"
"连接的","Connected"
"移除名称(L R)","Remove Name (L R)"
"设置父级","Set Parent"
"BendyBone大小","BendyBone Size"
"增加长度","Add Length"
"选定的层","Selected Layers"
"自定义形状","Custom Shape"
"自定义形状大小","Custom Shape Size"
"自定义形状线框","Custom Shape WireFrame"
"按骨骼长度缩放","Scale To Bone Length"
"使用连接","Use Connected"
"父级","Parent"
"骨骼生成方法","ボーン生成メソッド"
"设置骨骼组和BBone大小等","ボーングループとかBBoneサイズとか設定"
"层设置","レイヤー設定"
"偏移骨骼创建操作符","オフセット用ボーン生成オペレーター"
"创建偏移骨骼","Create Offset Bone"
"偏移骨骼创建","Offset Bone Creation"
"偏移骨骼前缀","Offset Bone Prefix"
"偏移层","Offset Layer"
"偏移自定义形状","Offset Custom Shape"
"自定义形状大小","Custom Shape size"
"偏移骨骼生成方法","オフセットボーン生成メソッド"
"组骨骼创建操作符","グループボーン生成オペレーター"
"创建组骨骼","Create Group Bone"
"组骨骼创建","Group Bone Creation"
"组骨骼位置","Group Bone Position"
"组骨骼前缀","Group Bone Prefix"
"组层","Group Layer"
"组自定义形状","Group Custom Shape"
"组骨骼层","Group Bone Layer"
"拉伸骨骼创建操作符","ストレッチボーン作成オペレーター"
"创建拉伸骨骼","Create Stretch Bone"
"拉伸骨骼创建","Stretch Bone Creation"
"拉伸骨骼前缀","Strech Bone Prefix"
"拉伸层","Stretch Layer"
"拉伸自定义形状","Stretch Custom Shape"
"拉伸骨骼前缀","Stretch Bone Prefix"
"如果选定的骨骼形成循环，则返回False，否则返回True","サイクルになるボーンが選択されている場合はFalseを返すなければTrue"
"拉伸约束","ストレッチコンストレイン"
"跟踪骨骼创建操作符","トラックボーン作成オペレーター"
"创建跟踪骨骼","Create Track Bone"
"跟踪骨骼创建","Track Bone Creation"
"跟踪骨骼前缀","Track Bone Prefix"
"跟踪层","Track Layer"
"跟踪自定义形状","Track Custom Shape"
"跟踪自定义形状","track Custom Shape"
"跟踪约束","トラックコンストレイン"
"HalfSRT骨骼创建操作符","HalfSRTボーン作成オペレーター"
"创建Half SRT骨骼","Create Half Srt Bone"
"Half SRT骨骼创建","Half SRT Bone Creation"
"位置约束","Location Constraint"
"旋转约束","Rotation Constraint"
"缩放约束","Scale Constraint"
"HalfSRT骨骼前缀","HalfSRT Bone Prefix"
"HalfSRT层","HalfSRT Layer"
"HalfSRT自定义形状","HalfSRT Custom Shape"
"HalfSRT约束","HalfSRTコンストレイン"
"子约束骨骼创建操作符","チャイルドコンストレインボーン作成オペレーター"
"创建子约束骨骼","Create Child Cns Bone"
"子约束骨骼创建","Child Constraint Bone Creation"
"子约束骨骼前缀","ChildCns Bone Prefix"
"子约束层","ChildCns Layer"
"子约束自定义形状","ChildCns Custom Shape"
"子约束","Childコンストレイン"
"Ratio骨骼创建操作符","Ratioボーン作成オペレーター"
"创建Ratio骨骼","Create Ratio Bone"
"Ratio骨骼创建","Ratio Bone Creation"
"骨骼长度比例","Bone Length Ratio"
"使用BBone形状","Use BBone_Shape"
"Ratio骨骼前缀","Ratio Bone Prefix"
"Ratio层","Ratio Layer"
"Ratio自定义形状","Ratio Custom Shape"
"复制变换约束","コピートランスフォームコンストレイン"
"IK骨骼创建操作符","IKボーン作成オペレーター"
"创建IK骨骼","Create Ik Bone"
"创建IK骨骼。选择骨骼的尖端和末端并运行。链的长度将自动设置。","Create an IK bone. Select the tip and end of the bone and run. The length of the chain will be set automatically."
"拉伸约束","Stretch Constraint"
"IK骨骼名称","IK Bone Name"
"上向量骨骼名称","Up Vector Bone Name"
"IK骨骼前缀","IK Bone Prefix"
"上向量前缀","Up Vector Prefix"
"上向量轴","Up Vector Axis"
"上向量位置","Up Vector Position"
"上向量到父级","Up Vector to Parent"
"IK层","IK Layer"
"上向量层","Up Vector Layer"
"IK自定义形状","IK Custom Shape"
"上向量自定义形状","Up Vector Custom Shape"
"上向量骨骼前缀","Up Vector Bone Prefix"
"检查选定骨骼是层次结构还是单一","選択ボーンが階層構造か単一かをチェック"
"生成上向量骨骼","アップベクターボーン生成"
"IK约束、拉伸约束","IKコンストレイン、ストレッチコンストレイン"
"上向量的父子关系","アップベクターの親子付け"
"设置骨骼组、显示类型、BBone大小","ボーングループ、ディスプレイタイプ、BBoneサイズ設定"
"创建滑块","スライダー作成"
"创建IK/FK滑块","Create Ikfk Slider"
"滑块骨骼创建","Slider Bones Creation"
"滑块形状","Slider Shape"
"滑块属性名称","Slider Property Name"
"滑块骨骼前缀","Slider Bone Prefix"
"滑块层","Slider Layer"
"滑块大小","Slider Size"
"滑块位置","Slider Position"
"将IK影响附加到滑块","Attach IK influence to Slider"
"创建滑块用骨骼","スライダー用ボーン作成"
"锁定滑块的变换移动，除Y轴外","スライダーのトランスフォーム移動Y軸以外をロック"
"应用移动旋转限制约束到滑块","スライダーに移動回転制限コンストレインを付与"
"创建Switch属性并设置驱动器","Switchのプロパティー作ってドライバー設定"
"["{}"]","["{}"]"
"位置_Y","location_Y"
"限制","Limit"
"姿势骨骼["{}"].约束["限制位置"].max_y","pose.bones["{}"].constraints["Limit Location"].max_y"
"设置IK影响为驱动器","IKのインフルエンスにドライバーを設定"
"滑块","slider"
"姿势骨骼["{}"]["{}"]","pose.bones["{}"]["{}"]"
"如果没有IK，则将选定骨骼设为其子的父子关系。","IKがない場合選択ボーンの子に親子付け。"
"在选定项之间创建骨骼操作符","選択間にボーン作成オペレーター"
"创建桥接骨骼","Create Bridge Bone"
"在选定项之间创建骨骼","Bone Creation Between Selections"
"偏移骨骼组","offset Bone Group"
"骨骼适配类型","Bone Fit Type"
"创建源偏移","Create Source Offset"
"创建目标偏移","Create Target Offset"
"偏移骨骼增加长度","Offset Bone Add Length"
"偏移骨骼前缀","offset Bone Prefix"
"偏移自定义形状","offset Custom Shape"
"偏移自定义形状大小","offset Custom Shape size"
"偏移自定义形状线框","offset Custom Shape WireFrame"
"偏移按骨骼长度缩放","offset Scale To Bone Length"
"偏移自定义形状大小","Offset Custom Shape Size"
"偏移自定义形状线框","Offset Custom Shape WireFrame"
"偏移按骨骼长度缩放","Offset Scale To Bone Length"
"检查骨骼长度，如果为0则重新设置为0.01","ボーンの長さチェックして0の場合は0.01に再設定"
"生成填充间隙的骨骼方法","間を補完するボーン生成メソッド"
"生成头部的偏移骨骼","ヘッドのオフセットボーン生成"
"生成尾部的偏移骨骼","テイルのオフセットボーン生成"
"间隙骨骼的层","間ボーンのレイヤー"
"偏移骨骼的层","オフセットボーンのレイヤー"
"在选定项之间创建拉伸骨骼操作符","選択間にストレッチボーン作成オペレーター"
"创建拉伸桥接骨骼","Create Stretch Bridge Bone"
"在选定项之间创建拉伸骨骼","Stretch Bone Creation Between Selections"
"在选定项之间创建跟踪骨骼操作符","選択間にトラックボーン作成オペレーター"
"创建跟踪桥接骨骼","Create Track Bridge Bone"
"在选定项之间创建跟踪骨骼","Track Bone Creation Between Selections"
"创建将两个选定骨骼转换为三关节骨骼的操作符","２つの選択ボーンを３関節にしたボーンを生成するオペレーター"
"创建三关节骨骼","Create Three Joint Bone"
"使用两个选定骨骼创建三关节骨骼","Create Three-Jointed Bone with two Selected Bones"
"骨骼比例","Bone Ratio"
"头尾","Head Tail"
"生成三关节","三関節生成"
"设置组和BBone大小","グループ、BBoneサイズ設定"
"从选定曲线创建骨骼的操作符","選択カーブからボーンを生成するオペレーター"
"从曲线创建骨骼","Create Bone From Curve"
"从曲线创建骨骼","Create bones from curve"
"骨骼总数","Total Amount Of Bones"
"将父级设置为创建的骨骼","Set Parent To Created Bones"
"从位置列表生成骨骼","位置のリストからボーン生成"
"使用变换约束固定选定的操作符","選択をトランスフォームコンストレインでピンニングするオペレーター"
"骨骼固定变换","Bone Pinning Transform"
"将选定的骨骼变换固定到全局。","Pinning Selection Bone transforms to global."
"固定形状","Pin Shape"
"使用增量变换","Use Delta Transform"
"获取固定属性","ピンのプロパティー取得"
"删除固定对象及其附属的约束","ピンオブジェクトと付属するコンストレインの削除"
"创建固定","ピン作成"
"固定_TRA.000","PINNING_TRA.000"
"将局部变换迁移到增量变换","デルタトランスフォームにローカルトランスフォームを移行"
"约束","コンストレイン"
"设置固定属性","ピンのプロパティー設定"
"使用方向约束固定选定的操作符","選択を方向コンストレインでピンニングするオペレーター"
"骨骼固定方向","Bone Pinning Direction"
"方向轴","Direction Axis"
"方向向上","Direction Up"
"固定_DIR.000","PINNING_DIR.000"
"生成汇总固定的空对象","ピンニングを纏めるエンプティを生成"
"创建固定组","Create Pinning Group"
"将固定组合起来创建空对象","Putting the pinning together Create Empty"
"组名称","Group Name"
"组形状","Group Shape"
"使选定骨骼适配活动骨骼的操作符","アクティブボーンに選択ボーンをフィットするオペレーター"
"适配骨骼","Fit Bones"
"适配尾部","Fit Tail"
"适配头部","Fit Head"
"适配对齐","Fit Align"
"调整长度","Adjust Length"
"X镜像","X Mirror"
"如果骨骼连接开启，则在日志中记录一条消息","ボーンの接続がONの場合にログに一報"
"使选定骨骼的变换与活动骨骼一致的操作符","アクティブボーンに選択ボーンをのトランスフォームを一致させるオペレーター"
"匹配变换骨骼","Match Transform Bones"
"用于操作匹配变换复选框的函数","マッチトランスフォームのチェックボックス操作用関数"
"世界空间或局部空间","World Space or Local Space"
"位置X","Location X"
"位置Y","Location Y"
"位置Z","Location Z"
"旋转X","Rotation X"
"旋转Y","Rotation Y"
"旋转Z","Rotation Z"
"旋转W","Rotation W"
"缩放X","Scale X"
"缩放Y","Scale Y"
"缩放Z","Scale Z"
"全选","All Check"
"移动编辑骨骼","Move EditBone"
"世界或局部","World or Local"
"位置","Location"
"X","X"
"Y","Y"
"Z","Z"
"旋转","Rotation"
"W","W"
"缩放","Scale"
"全选","Check All"
"使用指定的旋转值使选定的编辑骨骼进行全局旋转的操作符","選択エディットボーンを回転値指定でグローバル回転させるオペレーター"
"全局旋转编辑骨骼","Rotate Edit Bone Global"
"旋转顺序","Rotate Order"
"顺序","order"
"对齐骨骼","Align Bones"
"对齐类型","Align Type"
"阈值","Threshold"
"接近考虑","Proximity Consideration"
"滚动值类型","Roll Value Type"
"滚动值","Roll Value"
"滚动类型","Roll Type"
"在层次结构中对齐骨骼","Align Bones In Hierarchy"
"选择一个父骨骼和一个子骨骼，并在它们之间对齐骨骼。","Select a parent bone and a child bone and align the bones between them."
"层次级别考虑","Hierarchy Level Considerations"
"捕捉附近的骨骼","Snap Near Bone"
"捕捉最近的头部或尾部。","Snap Nearest Head or Tail."
"反转","Reverse"
"对选定骨骼的目标侧或从活动骨骼到选定骨骼进行镜像（编辑、姿势都适用）","選択ボーンの対象側または、アクティブボーンから選択ボーンへのミラー（Edit、Pose両対応）"
"镜像骨骼","Mirror Bone"
"镜像轴","Mirror Axis"
"镜像目标","Mirror Target"
"根据名称翻转选定骨骼的姿势","選択ボーンのポーズを名前基準でFlip"
"翻转姿势","Flip Pose"
"将后续选定的骨骼设为活动骨骼的子级的操作符","アクティブボーンに以降の選択骨を親子付けするオペレーター"
"将选定的骨骼设为活动骨骼的子级","Parent selected bones to the active bone"
"连接","Connect"
"将选定的骨骼设为根或与活动骨骼同级的操作符","選択に選択骨をルートに親子付けするかアクティブボーンと同階層にするかのオペレーター"
"清除父级","Clear Parent"
"活动骨骼同级","Active Bone Same Level"
"同级化","同一階層化"
"解除层次结构","階層構造解除"
"将选定的骨骼放入当前场景的骨骼组的操作符","選択骨を現在のシーンのボーングループいれるオペレーター"
"设置骨骼组","Set Bone Group"
"创建附加首选项骨骼组的操作符","アドオンプリファレンスボーングループ作成するオペレーター"
"从附加属性创建骨骼组","Create Bone Group From Addon Property"
"将自定义形状应用于选定骨骼的操作符","選択ボーンにカスタムシェイプを適応するオペレーター"
"设置自定义形状","Set Custom Shape"
"应用自定义形状","Apply custom shapes"
"自定义形状平移","Custom Shape Translate"
"自定义形状旋转","Custom Shape Rotate"
"覆盖变换","Override Transform"
"平移自定义形状","Translate Custom Shape"
"旋转自定义形状","Rotate Custom Shape"
"调整自定义形状大小","Size Custom Shape"
"形状设置","シェイプ設定"
"设置骨骼显示类型","Set Bone Display Type"
"更改装备在视口显示中的显示方式。","Change Display as in Viewport Display of Armature."
"骨骼显示类型","Bone Display Type"
"仅设置活动","Set Only Active"
"在姿势模式中也删除骨骼","Delete Bones Also In Pose Mode"
"在姿势模式中也删除骨骼","Delete Bones Also In PoseMode"
"重置","Reset"
"将操作符的初始化标志设置为False","レーターのイニシャライズフラグをFalseにする"
"重置操作符","Reset Operator"
"重置操作符","Reset the operator"
"操作符","operators"
"切换单个","Toggle Single"
"切换全部","Toggle All"
"名称","Name"
"隔离的","Isolated"
"隔离","Isolate"
"装备名称","Armature Name"
"隔离对象","Isolate Object"
"选定对象隔离","Selected Objects Isolated"
"隔离姿势骨骼","Isolate Pose Bone"
"选定骨骼隔离","Selected Bone Isolated"
"隔离编辑骨骼","Isolate Edit Bone"
"选定编辑骨骼隔离","Selected Edit Bone Isolated"
"为姿势骨骼创建镜像驱动器","Mirror Drivers For Pose Bone"
"为镜像姿势骨骼创建驱动器","Create drivers for mirror pose bones"
"恢复","Restore"
"添加新","Add New"
"重复","Repeat"
"命令","Cmd"
"快速装配工具","QuickRig Tools"
"主选项卡","Main Tab"
"创建骨骼选项","Create Bone Options"
"图标选项","Icon Options"
"单个骨骼创建选项","Single Bone Create Options"
"IK骨骼创建选项","IK Bone Create Options"
"多个骨骼创建选项","Multiple Bone Create Options"
"层","Layer"
"图标路径","Icon Path"
"骨骼组默认颜色","Bone Group Default Color"
"骨骼组列表索引","Index for bone_group_list"
"创建骨骼组目标","Create Bone Group Target"
"从列表自动加载场景创建骨骼组","Load Scene Auto Create Bone Group From List"
"隐藏网格","Hide Mesh"
"隐藏曲线","Hide Curve"
"隐藏曲面","Hide Surface"
"隐藏元对象","Hide Meta"
"隐藏字体","Hide Font"
"隐藏毛发","Hide Hair"
"隐藏点云","Hide PointCloud"
"隐藏体积","Hide Volume"
"隐藏GPencil","Hide Gpencil"
"隐藏装备","Hide Armature"
"隐藏晶格","Hide Lattice"
"隐藏空对象","Hide Emplty"
"隐藏图像","Hide Image"
"隐藏灯光","Hide Light"
"隐藏灯光证明","Hide Light_Prove"
"隐藏相机","Hide Camera"
"隐藏扬声器","Hide Speaker"
"颜色集","Color Set"
"当场景加载时自动创建骨骼组。","Create BoneGroup automatically when scene is loaded."
"目标类型","Target Type"
"重启Blender后将启用","It will be enabled after restarting blender"
"初始化","Initialize"
"骨骼组名称","Bone Group Name"
"骨骼颜色集","Bone Color Set"
"骨骼组列表添加新项","bone_group_list a new item"
"保存预设","Save preset"
"将当前列表保存为预设。","Save the current list to a preset."
"加载预设","Load preset"
"加载保存的预设。","Load a saved preset."
"骨骼组列表删除一项","bone_group_list deletes an item"
"骨骼组列表移动一项","bone_group_list move an item in the list"
"",""